Entity,Code,Year,Share of one person households (%)
Germany,DEU,2007,38.4
Germany,DEU,2008,39.1
Germany,DEU,2009,39.5
Germany,DEU,2010,39.8
Germany,DEU,2011,40.1
Germany,DEU,2012,40.2
Germany,DEU,2013,40.2
Germany,DEU,2014,40.5
Germany,DEU,2015,41.2
Germany,DEU,2016,40.8
Germany,DEU,2017,41.5
Germany,DEU,2018,41.7
Ghana,GHA,1993,24.31642304
Ghana,GHA,1999,26.1342729
Ghana,GHA,2003,20.76049926
Ghana,GHA,2008,21.92913739
Ghana,GHA,2014,25.87767982
Greece,GRC,2003,19.7
Greece,GRC,2004,19.7
Greece,GRC,2005,19.8
Greece,GRC,2006,19.8
Greece,GRC,2007,20
Greece,GRC,2008,20.1
Greece,GRC,2009,20.2
Greece,GRC,2010,20.3
Greece,GRC,2011,20.4
Greece,GRC,2012,20.6
Greece,GRC,2013,25.7
Greece,GRC,2014,25.7
Greece,GRC,2015,25.7
Greece,GRC,2016,25.7
Greece,GRC,2017,25.7
Greece,GRC,2018,25.7
Guatemala,GTM,1995,3.798205227
Guatemala,GTM,1999,4.095099119
Guatemala,GTM,2015,4.326958785
Guinea,GIN,1999,4.642497932
Guinea,GIN,2005,5.404126666
Guinea,GIN,2012,4.531494181
Guyana,GUY,2005,9.695523994
Guyana,GUY,2009,12.87004026
Haiti,HTI,1994,8.072025276
Haiti,HTI,2000,8.199069513
Haiti,HTI,2006,8.616712165
Haiti,HTI,2012,9.885876923
Honduras,HND,2006,5.523961152
Honduras,HND,2012,6.687692161
Hong Kong,HKG,2006,16.5122571
Hong Kong,HKG,2011,17.05879274
Hungary,HUN,2005,29
Hungary,HUN,2006,24.7
Hungary,HUN,2007,24.4
Hungary,HUN,2008,24.1
Hungary,HUN,2009,24.1
Hungary,HUN,2010,23.9
Hungary,HUN,2011,29.9
Hungary,HUN,2012,31
Hungary,HUN,2013,32
Hungary,HUN,2014,32.3
Hungary,HUN,2015,33
Hungary,HUN,2016,33.8
Hungary,HUN,2017,33.8
Hungary,HUN,2018,33.2
Iceland,ISL,2004,29.5
Iceland,ISL,2005,28.7
Iceland,ISL,2006,27.4
Iceland,ISL,2007,27.5
Iceland,ISL,2008,29.3
Iceland,ISL,2009,30.3
Iceland,ISL,2010,31.2
Iceland,ISL,2011,30.9
Iceland,ISL,2012,31.1
Iceland,ISL,2013,29.3
Iceland,ISL,2014,29.3
Iceland,ISL,2015,31.1
Iceland,ISL,2016,31
India,IND,1983,7.817784281
India,IND,1987,7.240799153
India,IND,1993,6.946856583
India,IND,1999,6.562453743
India,IND,2004,6.919352908
India,IND,2009,7.664429863
Indonesia,IDN,1971,4.667492608
Indonesia,IDN,1976,4.668445889
Indonesia,IDN,1980,4.641785932
Indonesia,IDN,1985,4.880121883
Indonesia,IDN,1990,5.419497167
Indonesia,IDN,1995,5.697882449
Indonesia,IDN,2000,6.676955657
Indonesia,IDN,2005,6.033661636
Indonesia,IDN,2010,8.258493216
Iran,IRN,2006,5.204606365
Iran,IRN,2011,7.161897448
Iraq,IRQ,1997,1.226552676
Ireland,IRL,2003,21.7
Ireland,IRL,2004,21.4
Ireland,IRL,2005,21.7
Ireland,IRL,2006,21.9
Ireland,IRL,2007,21.4
Ireland,IRL,2008,21.7
Ireland,IRL,2009,21.8
Ireland,IRL,2010,22.3
Ireland,IRL,2011,21.7
Ireland,IRL,2012,21.9
Ireland,IRL,2013,22.1
Ireland,IRL,2014,21.4
Ireland,IRL,2015,22.8
Ireland,IRL,2016,23.5
Ireland,IRL,2017,24.3
Israel,ISR,1972,12.35974909
Israel,ISR,1983,17.53003921
Israel,ISR,1995,19.65662802
Italy,ITA,2004,26.8
Italy,ITA,2005,27.5
Italy,ITA,2006,27.9
Italy,ITA,2007,28.7
Italy,ITA,2008,29.3
Italy,ITA,2009,29.8
Italy,ITA,2010,30.3
Italy,ITA,2011,30.3
Italy,ITA,2012,31.6
Italy,ITA,2013,32.5
Italy,ITA,2014,32.9
Italy,ITA,2015,32.1
Italy,ITA,2016,32.4
Italy,ITA,2017,32.3
Italy,ITA,2018,32.6
Jamaica,JAM,1982,19.19385425
Jamaica,JAM,1991,19.74721392
Jamaica,JAM,2001,23.30160762
Japan,JPN,1960,16.51434708
Japan,JPN,1970,20.25758362
Japan,JPN,1975,19.53020859
Japan,JPN,1980,19.83397675
Japan,JPN,1985,20.78630638
Japan,JPN,1990,23.08716583
Japan,JPN,1995,25.60229683
Japan,JPN,2000,27.59867477
Japan,JPN,2005,29.4666481
Japan,JPN,2010,32.37607956
Japan,JPN,2015,34.5345993
Jordan,JOR,1997,4.682568451
Jordan,JOR,2002,4.544476743
Jordan,JOR,2007,5.279055394
Jordan,JOR,2009,4.601669512
Jordan,JOR,2012,4.350425966
Kazakhstan,KAZ,1995,11.6253231
Kazakhstan,KAZ,1999,13.14019914
Kenya,KEN,1993,14.48191377
Kenya,KEN,1998,15.7811697
Kenya,KEN,2003,13.99101313
Kenya,KEN,2009,14.8806381
Kenya,KEN,2014,19.29013718
Kenya,KEN,2015,21.60137431
Kyrgyzstan,KGZ,1999,9.337902338
Kyrgyzstan,KGZ,2009,8.548256687
Latvia,LVA,2005,25.3
Latvia,LVA,2006,25.3
Latvia,LVA,2007,26.6
Latvia,LVA,2008,28.4
Latvia,LVA,2009,29.7
Latvia,LVA,2010,29.3
Latvia,LVA,2011,30.9
Latvia,LVA,2012,30.7
Latvia,LVA,2013,30.4
Latvia,LVA,2014,32.3
Latvia,LVA,2015,31
Latvia,LVA,2016,31
Latvia,LVA,2017,33
Latvia,LVA,2018,35
Lesotho,LSO,2004,16.06067118
Lesotho,LSO,2009,18.72795858
Lesotho,LSO,2014,20.66342329
Liberia,LBR,2007,7.328538518
Liberia,LBR,2009,7.04540924
Liberia,LBR,2011,12.64218118
Liberia,LBR,2013,9.665428312
Liechtenstein,LIE,2010,34.1718942
Lithuania,LTU,2005,28.4
Lithuania,LTU,2006,28.1
Lithuania,LTU,2007,27
Lithuania,LTU,2008,30
Lithuania,LTU,2009,30.4
Lithuania,LTU,2010,32.7
Lithuania,LTU,2011,34.2
Lithuania,LTU,2012,35.2
Lithuania,LTU,2013,36.6
Lithuania,LTU,2014,36
Lithuania,LTU,2015,37.7
Lithuania,LTU,2016,38.7
Lithuania,LTU,2017,38.7
Lithuania,LTU,2018,37.7
Luxembourg,LUX,2003,29.3
Luxembourg,LUX,2004,29.3
Luxembourg,LUX,2005,29.3
Luxembourg,LUX,2006,28.9
Luxembourg,LUX,2007,28.9
Luxembourg,LUX,2008,28.9
Luxembourg,LUX,2009,28.9
Luxembourg,LUX,2010,28.9
Luxembourg,LUX,2011,28.9
Luxembourg,LUX,2012,33.3
Luxembourg,LUX,2013,32.9
Luxembourg,LUX,2014,33.3
Luxembourg,LUX,2015,33
Luxembourg,LUX,2016,27.6
Luxembourg,LUX,2017,25.7
Luxembourg,LUX,2018,33.6
Macao,MAC,2011,15.21587642
Macedonia,MKD,2010,9.7
Macedonia,MKD,2011,9.7
Macedonia,MKD,2012,9.6
Macedonia,MKD,2013,9.6
Macedonia,MKD,2014,9.7
Macedonia,MKD,2015,9.7
Macedonia,MKD,2016,9.7
Macedonia,MKD,2017,9.6
Madagascar,MDG,1992,6.572123791
Madagascar,MDG,1997,6.680118504
Madagascar,MDG,2004,7.219479869
Madagascar,MDG,2009,7.120491551
Madagascar,MDG,2011,5.338500402
Malawi,MWI,1992,7.87060207
Malawi,MWI,2000,7.998310707
Malawi,MWI,2004,8.376442411
Malawi,MWI,2010,6.771263411
Malawi,MWI,2014,9.031598612
Malawi,MWI,2015,6.446656931
Malaysia,MYS,1970,8.642685064
Malaysia,MYS,1980,8.92490299
Malaysia,MYS,1991,7.61448575
Malaysia,MYS,2000,7.139491293
Mali,MLI,1996,5.579503837
Mali,MLI,2001,7.348353409
Mali,MLI,2006,5.038954264
Mali,MLI,2012,3.206061544
Malta,MLT,2005,18.6
Malta,MLT,2006,18.9
Malta,MLT,2007,19.6
Malta,MLT,2008,20.2
Malta,MLT,2009,20.9
Malta,MLT,2010,21.5
Malta,MLT,2011,22.1
Malta,MLT,2012,22.6
Malta,MLT,2013,23.4
Malta,MLT,2014,24.2
Malta,MLT,2015,25.2
Malta,MLT,2016,25.8
Malta,MLT,2017,26.3
Malta,MLT,2018,26.9
Mayotte,MYT,2012,14.71089508
Mexico,MEX,1970,4.316164483
Mexico,MEX,1990,4.871502415
Mexico,MEX,1995,5.794888726
Mexico,MEX,2000,6.43639734
Mexico,MEX,2010,9.42463422
Mexico,MEX,2015,10.08021791
Moldova,MDA,2004,20.25371369
Mongolia,MNG,1989,9.296672022
Mongolia,MNG,2000,6.606338212
Montenegro,MNE,2011,18.12663206
Morocco,MAR,1982,7.224319098
Morocco,MAR,1994,5.945524871
Morocco,MAR,2004,5.880234065
Mozambique,MOZ,1997,9.601877067
Mozambique,MOZ,2003,6.647905944
Mozambique,MOZ,2009,9.515043252
Mozambique,MOZ,2011,9.847700695
Myanmar,MMR,2016,5.354498397
Namibia,NAM,1992,8.636336103
Namibia,NAM,2000,9.395000398
Namibia,NAM,2007,14.46713651
Namibia,NAM,2013,17.44637043
Nepal,NPL,1996,3.190334167
Nepal,NPL,2001,3.97986929
Nepal,NPL,2006,5.045855451
Nepal,NPL,2011,4.894019557
Nepal,NPL,2016,6.447971739
Netherlands,NLD,2005,34.6
Netherlands,NLD,2006,35
Netherlands,NLD,2007,35.2
Netherlands,NLD,2008,35.5
Netherlands,NLD,2009,35.8
Netherlands,NLD,2010,36.1
Netherlands,NLD,2011,36.4
Netherlands,NLD,2012,36.7
Netherlands,NLD,2013,37
Netherlands,NLD,2014,36.9
Netherlands,NLD,2015,37.4
Netherlands,NLD,2016,37.8
Netherlands,NLD,2017,38.1
Netherlands,NLD,2018,38.3
New Zealand,NZL,1991,20.22908211
New Zealand,NZL,1996,20.23293304
New Zealand,NZL,2001,23.38380432
New Zealand,NZL,2006,23.02075577
New Zealand,NZL,2013,23.53930473
Nicaragua,NIC,1971,4.209931926
Nicaragua,NIC,1995,3.813954728
Nicaragua,NIC,2005,4.58559197
Niger,NER,1992,4.516281782
Niger,NER,1998,4.809551946
Niger,NER,2006,3.681666699
Niger,NER,2012,3.192584473
Nigeria,NGA,1990,10.99783798
Nigeria,NGA,1999,11.30491763
Nigeria,NGA,2003,11.66963467
Nigeria,NGA,2008,17.78757132
Nigeria,NGA,2010,10.53510562
Nigeria,NGA,2013,15.77620659
Nigeria,NGA,2015,11.50747296
Norway,NOR,2003,40.3
Norway,NOR,2004,41.1
Norway,NOR,2005,40.9
Norway,NOR,2006,43.3
Norway,NOR,2007,43.1
Norway,NOR,2008,41.1
Norway,NOR,2009,40.9
Norway,NOR,2010,41.1
Norway,NOR,2011,41.5
Norway,NOR,2012,41.2
Norway,NOR,2013,41.3
Norway,NOR,2014,40.6
Norway,NOR,2015,44.3
Norway,NOR,2016,44.8
Norway,NOR,2017,47
Norway,NOR,2018,45.8
OECD-32 average,,2011,30.55992676
Pakistan,PAK,1991,2.947397578
Pakistan,PAK,2006,1.272279818
Pakistan,PAK,2013,1.079464084
Palestine,PSE,1997,3.306351565
Palestine,PSE,2007,3.532289796
Panama,PAN,1960,13.09449172
Panama,PAN,1970,12.19630709
Panama,PAN,1980,11.26521507
Panama,PAN,1990,11.70087195
Panama,PAN,2000,12.74208971
Panama,PAN,2010,14.66153913
Paraguay,PRY,1962,11.63089341
Paraguay,PRY,1972,6.208800362
Paraguay,PRY,1982,5.761969621
Paraguay,PRY,1992,7.430100303
Paraguay,PRY,2002,8.088676944
Peru,PER,1991,3.049015941
Peru,PER,1996,6.269220037
Peru,PER,2000,8.228381981
Peru,PER,2005,11.71401961
Peru,PER,2007,11.71401961
Peru,PER,2009,11.43541309
Peru,PER,2010,13.98925341
Peru,PER,2011,13.7809745
Peru,PER,2012,12.90604962
Philippines,PHL,1993,2.77002466
Philippines,PHL,1998,4.074593748
Philippines,PHL,2003,4.144139239
Philippines,PHL,2008,5.250545597
Philippines,PHL,2013,4.967869184
Poland,POL,2005,25.2
Poland,POL,2006,25.1
Poland,POL,2007,25.2
Poland,POL,2008,25.3
Poland,POL,2009,25.3
Poland,POL,2010,25.2
Poland,POL,2011,25.2
Poland,POL,2012,24.4
Poland,POL,2013,24.3
Poland,POL,2014,24.4
Poland,POL,2015,24.7
Poland,POL,2016,24.8
Poland,POL,2017,24.9
Poland,POL,2018,25
Portugal,PRT,2004,16.6
Portugal,PRT,2005,16.6
Portugal,PRT,2006,16.7
Portugal,PRT,2007,17
Portugal,PRT,2008,17.6
Portugal,PRT,2009,17.5
Portugal,PRT,2010,17.7
Portugal,PRT,2011,19.1
Portugal,PRT,2012,19.3
Portugal,PRT,2013,20
Portugal,PRT,2014,21.4
Portugal,PRT,2015,21.8
Portugal,PRT,2016,21.8
Portugal,PRT,2017,22.4
Portugal,PRT,2018,23.1
Puerto Rico,PRI,1970,10.26411514
Puerto Rico,PRI,1980,12.27534602
Puerto Rico,PRI,1990,14.49140263
Puerto Rico,PRI,2000,18.42173904
Puerto Rico,PRI,2005,20.87134965
Puerto Rico,PRI,2010,23.05711871
Romania,ROU,2007,23.3
Romania,ROU,2008,23.4
Romania,ROU,2009,24.3
Romania,ROU,2010,23.9
Romania,ROU,2011,24.8
Romania,ROU,2012,25.2
Romania,ROU,2013,26
Romania,ROU,2014,26.8
Romania,ROU,2015,28
Romania,ROU,2016,29.3
Romania,ROU,2017,29.1
Romania,ROU,2018,29.2
Russia,RUS,2002,22.27498144
Russia,RUS,2010,25.69390194
Rwanda,RWA,1992,5.34079179
Rwanda,RWA,2000,5.994879034
Rwanda,RWA,2005,6.542097526
Rwanda,RWA,2008,8.255909725
Rwanda,RWA,2010,6.539706576
Rwanda,RWA,2012,7.396382111
Rwanda,RWA,2015,8.15135476
Sao Tome and Principe,STP,2012,16.81598743
Senegal,SEN,1993,5.158730159
Senegal,SEN,1997,4.362833656
Senegal,SEN,2005,6.589216079
Senegal,SEN,2006,5.29975765
Senegal,SEN,2008,3.884283821
Senegal,SEN,2011,3.431717486
Senegal,SEN,2013,6.465171934
Senegal,SEN,2014,6.380374024
Senegal,SEN,2015,7.22030784
Senegal,SEN,2016,8.378523978
Serbia,SRB,2013,22.2
Serbia,SRB,2014,22.3
Serbia,SRB,2015,22.3
Serbia,SRB,2016,22.3
Serbia,SRB,2017,22.4
Serbia,SRB,2018,22.3
Sierra Leone,SLE,2008,4.13401144
Sierra Leone,SLE,2013,3.997689256
Singapore,SGP,2000,8.238424636
Singapore,SGP,2010,12.20643675
Sint Maarten (Dutch part),SXM,2011,31.32876925
Slovakia,SVK,2005,23.6
Slovakia,SVK,2006,24.2
Slovakia,SVK,2007,24.5
Slovakia,SVK,2008,24.2
Slovakia,SVK,2009,23.8
Slovakia,SVK,2010,23.1
Slovakia,SVK,2011,24.4
Slovakia,SVK,2012,24.7
Slovakia,SVK,2013,23.5
Slovakia,SVK,2014,25.7
Slovakia,SVK,2015,23.1
Slovakia,SVK,2016,22.2
Slovakia,SVK,2017,22.3
Slovenia,SVN,2005,21.3
Slovenia,SVN,2006,20.4
Slovenia,SVN,2007,20.8
Slovenia,SVN,2008,20.8
Slovenia,SVN,2009,20.8
Slovenia,SVN,2010,27
Slovenia,SVN,2011,27.6
Slovenia,SVN,2012,28.9
Slovenia,SVN,2013,29.7
Slovenia,SVN,2014,29.2
Slovenia,SVN,2015,29.3
Slovenia,SVN,2016,30.3
Slovenia,SVN,2017,29.7
Slovenia,SVN,2018,29.6
South Africa,ZAF,1996,16.22959344
South Africa,ZAF,2001,18.5993172
South Africa,ZAF,2007,18.12737212
South Africa,ZAF,2011,26.80193468
South Korea,KOR,2005,19.957509
South Korea,KOR,2010,23.8887144
South Sudan,SSD,2008,4.32781149
Spain,ESP,2004,23.2
Spain,ESP,2005,21.7
Spain,ESP,2006,22
Spain,ESP,2007,22
Spain,ESP,2008,22.2
Spain,ESP,2009,22.4
Spain,ESP,2010,22.6
Spain,ESP,2011,22.9
Spain,ESP,2012,23.2
Spain,ESP,2013,23.5
Spain,ESP,2014,24.6
Spain,ESP,2015,25.2
Spain,ESP,2016,25.4
Spain,ESP,2017,25.6
Spain,ESP,2018,25.5
Sudan,SDN,2008,5.057340875
Sweden,SWE,2004,41.7
Sweden,SWE,2005,41.8
Sweden,SWE,2006,41.3
Sweden,SWE,2007,39.5
Sweden,SWE,2008,40.2
Sweden,SWE,2009,43.4
Sweden,SWE,2010,41.1
Sweden,SWE,2011,40.7
Sweden,SWE,2012,40.8
Sweden,SWE,2013,41.8
Sweden,SWE,2014,41.7
Sweden,SWE,2015,41.6
Sweden,SWE,2016,41.9
Sweden,SWE,2017,41.2
Sweden,SWE,2018,42.5
Switzerland,CHE,2007,31.2
Switzerland,CHE,2008,31.1
Switzerland,CHE,2009,31.9
Switzerland,CHE,2010,31.3
Switzerland,CHE,2011,32.3
Switzerland,CHE,2012,31.9
Switzerland,CHE,2013,31.7
Switzerland,CHE,2014,36.5
Switzerland,CHE,2015,37.5
Switzerland,CHE,2016,37.8
Switzerland,CHE,2017,37.9
Switzerland,CHE,2018,38.1
Tajikistan,TJK,2012,2.959290743
Tanzania,TZA,1992,8.975127526
Tanzania,TZA,1996,8.934231506
Tanzania,TZA,1999,9.244577922
Tanzania,TZA,2004,8.831081538
Tanzania,TZA,2007,7.917203975
Tanzania,TZA,2010,8.525647089
